arm,epsilon,rep,spearman_rho,qini_coef,is_degenerate
mens,0.1,0,0.17158800789880932,1.3899999999999864,0
mens,0.1,1,-0.01361384288802194,7.990000000000009,0
mens,0.1,2,0.13515689314280385,1.4699999999999704,0
mens,0.1,3,0.06141769567351203,-31.069999999999993,0
mens,0.1,4,0.2121847280247919,-1.189999999999884,0
mens,0.1,5,0.00026399048911457244,-14.009999999999877,0
mens,0.1,6,0.23194397115188875,77.40999999999997,1
mens,0.1,7,-0.029735784457776294,56.18999999999983,1
mens,0.1,8,0.08575857521389928,42.690000000000055,1
mens,0.1,9,0.15599592647025565,4.329999999999927,0
mens,0.5,0,0.4344519052092106,-8.57000000000005,0
mens,0.5,1,0.3840494408949612,2.1299999999999955,0
mens,0.5,2,0.3593755932466482,-22.710000000000036,0
mens,0.5,3,0.043066500854187104,3.3099999999999454,0
mens,0.5,4,0.039460313341445036,13.930000000000007,0
mens,0.5,5,0.0007057872939353044,2.8899999999999295,0
mens,0.5,6,0.32073348534388046,-39.490000000000066,0
mens,0.5,7,0.04076885261322671,-19.87000000000006,0
mens,0.5,8,0.3798767808224362,-21.55000000000001,0
mens,0.5,9,0.3491978737172136,-6.390000000000043,0
mens,1.0,0,0.09331742292609774,16.50999999999999,0
mens,1.0,1,0.35203220597371443,10.529999999999973,0
mens,1.0,2,0.36041153588597685,-13.049999999999955,0
mens,1.0,3,-0.031137536770950575,-42.89000000000004,0
mens,1.0,4,0.10044243282041902,19.509999999999877,0
mens,1.0,5,0.39281171687799754,-10.190000000000055,0
mens,1.0,6,0.09140465830223972,19.789999999999964,0
mens,1.0,7,0.01377553532826281,-27.130000000000052,0
mens,1.0,8,0.39092317007843214,-12.53000000000003,0
mens,1.0,9,0.2911450873361866,-22.769999999999982,0
mens,2.0,0,0.06742106965775502,16.12999999999994,0
mens,2.0,1,0.3714337483037732,22.32999999999987,0
mens,2.0,2,0.05037842331140586,18.049999999999955,0
mens,2.0,3,0.07046614486914397,17.789999999999907,0
mens,2.0,4,0.07479224073461424,18.069999999999936,0
mens,2.0,5,0.07447937906798374,14.88999999999993,0
mens,2.0,6,0.07642002959915506,18.88999999999993,0
mens,2.0,7,0.06455244050164781,21.069999999999993,0
mens,2.0,8,0.3524358027117168,-5.529999999999973,0
mens,2.0,9,0.1022967476456577,11.369999999999948,0
mens,5.0,0,0.06295101740606907,16.6099999999999,0
mens,5.0,1,0.06767932810161392,21.6099999999999,0
mens,5.0,2,0.04971920030859159,20.94999999999999,0
mens,5.0,3,0.062304091621112084,17.469999999999857,0
mens,5.0,4,0.06421330878834039,18.22999999999996,0
mens,5.0,5,0.05953547479252752,18.049999999999898,0
mens,5.0,6,0.06750533137318497,20.069999999999936,0
mens,5.0,7,0.05884920447762155,17.229999999999905,0
mens,5.0,8,0.07694633324909537,15.610000000000014,0
mens,5.0,9,0.08334427438353623,14.25,0
mens,10.0,0,0.060791100575930825,14.529999999999973,0
mens,10.0,1,0.06054826625685053,18.149999999999977,0
mens,10.0,2,0.055092119949097164,20.16999999999996,0
mens,10.0,3,0.06370713522021645,17.36999999999989,0
mens,10.0,4,0.06880207571351758,17.889999999999986,0
mens,10.0,5,0.06010275845307758,16.92999999999995,0
mens,10.0,6,0.07012836979207025,19.729999999999905,0
mens,10.0,7,0.055462809483697695,17.949999999999932,0
mens,10.0,8,0.06851367024069113,16.589999999999975,0
mens,10.0,9,0.07394455556030974,11.930000000000007,0
mens,inf,0,0.05451046725699898,12.350000000000023,0
mens,inf,1,0.0626610436695447,19.669999999999902,0
mens,inf,2,0.060621040430785714,19.029999999999973,0
mens,inf,3,0.06243467051644289,17.92999999999995,0
mens,inf,4,0.06595930577823761,17.789999999999907,0
mens,inf,5,0.053647437626931645,19.029999999999973,0
mens,inf,6,0.05863652926048633,21.20999999999998,0
mens,inf,7,0.057830954373312114,17.12999999999994,0
mens,inf,8,0.06567211469072468,19.62999999999994,0
mens,inf,9,0.07938762838417167,13.049999999999955,0
womens,0.1,0,-0.061175971463380205,48.74012116922961,1
womens,0.1,1,0.1369499775093539,35.33155441340318,1
womens,0.1,2,-0.10467803685510911,27.130051537301824,1
womens,0.1,3,0.2240376149705198,79.96556497523397,1
womens,0.1,4,0.347190457365661,-5.2463019937641775,0
womens,0.1,5,0.07018554960592148,76.63570943573473,1
womens,0.1,6,0.07711127421032028,95.39155293087674,1
womens,0.1,7,0.04962973274179696,53.72902063520792,1
womens,0.1,8,-0.001228647822557866,34.989417047181746,1
womens,0.1,9,0.246610461850283,102.64969209485662,1
womens,0.5,0,-0.0316844820236021,-45.952128869003985,0
womens,0.5,1,-0.5349218673446066,-52.655737666160064,0
womens,0.5,2,-0.020779966647001356,-43.1859979822035,0
womens,0.5,3,-0.011115877069572015,-27.06901447101899,0
womens,0.5,4,-0.12443418949945376,-58.83569690448476,0
womens,0.5,5,-0.4860773876212767,-60.67927614474456,0
womens,0.5,6,-0.49814971716277995,-53.064333729194004,0
womens,0.5,7,-0.22418178105861328,-8.911649029803527,0
womens,0.5,8,0.05366828205760251,-27.428291185365822,0
womens,0.5,9,0.04472075686383377,-19.17671942640277,0
womens,1.0,0,-0.2124855931631505,5.107663155939804,0
womens,1.0,1,-0.22317803256947383,-0.33175631790368243,0
womens,1.0,2,-0.18066695017675094,-4.309634120268981,0
womens,1.0,3,-0.22583168659450317,-1.5626913083374916,0
womens,1.0,4,-0.22509591545439775,1.7641660944633486,0
womens,1.0,5,-0.21915472053176635,-4.130120685457939,0
womens,1.0,6,-0.20911501409476643,-0.48973313743186964,0
womens,1.0,7,-0.19783252456586214,-4.7131583353881865,0
womens,1.0,8,-0.23270120809576797,-4.677180695008531,0
womens,1.0,9,-0.20877109642261185,-6.176523873358008,0
womens,2.0,0,-0.2155287336598312,-1.8777704908568467,0
womens,2.0,1,-0.19347397404232844,2.798748115630758,0
womens,2.0,2,-0.16880312050713897,-2.5292905798707466,0
womens,2.0,3,-0.21912095240574794,0.01133045827219803,0
womens,2.0,4,-0.20604566705768604,3.7595759740198105,0
womens,2.0,5,-0.19531271046921259,-1.8177827724182407,0
womens,2.0,6,-0.19300821543584037,0.11026896931622332,0
womens,2.0,7,-0.18538521615001569,1.5782566346960607,0
womens,2.0,8,-0.20991631260875698,-4.57894174919403,0
womens,2.0,9,-0.18515612348228178,-2.8703286293029464,0
womens,5.0,0,-0.19606896328533086,-4.236279709050336,0
womens,5.0,1,-0.1902046997346593,1.5972448337853393,0
womens,5.0,2,-0.17434906819796078,-2.7513026023802354,0
womens,5.0,3,-0.21299391153826858,-0.5997897387321132,0
womens,5.0,4,-0.19514500783502509,3.8199134750731787,0
womens,5.0,5,-0.20113858161039555,-0.9710340153996526,0
womens,5.0,6,-0.18374810016042303,-1.7040034847176457,0
womens,5.0,7,-0.192134634797627,-0.5804767415004903,0
womens,5.0,8,-0.1839417769919903,1.7876514986000984,0
womens,5.0,9,-0.18988550804083068,1.2456633369641281,0
womens,10.0,0,-0.20214805315913836,-3.3974010608648655,0
womens,10.0,1,-0.186204979808672,0.6635001435709,0
womens,10.0,2,-0.1613978744519601,-1.4020161657808785,0
womens,10.0,3,-0.2267106029035549,-0.7955930496038377,0
womens,10.0,4,-0.18267151196607703,2.8991856950239026,0
womens,10.0,5,-0.21352750740725326,0.83271997571768,0
womens,10.0,6,-0.19427179748582496,-1.3614913514088585,0
womens,10.0,7,-0.19255719690675244,-0.8340691372321203,0
womens,10.0,8,-0.17072121322098074,-4.033555699299939,0
womens,10.0,9,-0.18984426989339534,1.4491118964165821,0
womens,inf,0,-0.20302478479499536,-5.293022957312644,0
womens,inf,1,-0.17821277309457925,3.138511956966056,0
womens,inf,2,-0.18729443735957949,-3.401298638572598,0
womens,inf,3,-0.20886717426782356,1.4349706849895938,0
womens,inf,4,-0.19072184007960405,0.007432880564408606,0
womens,inf,5,-0.20137340135851614,1.8101375238373976,0
womens,inf,6,-0.19465388738389097,-0.5287588834547705,0
womens,inf,7,-0.19337935950523255,0.1849975265215562,0
womens,inf,8,-0.1825247008250994,-1.4124596752800471,0
womens,inf,9,-0.18661487957446327,2.0217310213201927,0
